City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
336,Terrace,CA,54.5163,-128.6035,69.71,26,75,9.22,broken clouds
337,Beringovskiy,RU,63.05,179.3167,34.65,87,82,6.46,broken clouds
338,San Quintin,MX,30.4833,-115.95,65.79,68,14,10.36,few clouds
339,Aswan,EG,24.0934,32.907,85.26,15,1,12.84,clear sky
340,Broken Hill,AU,-31.95,141.4333,53.26,77,100,10.49,overcast clouds
341,Portland,US,45.5234,-122.6762,62.64,59,75,5.75,broken clouds
342,Madang,PG,-5.2246,145.7966,80.98,81,65,4.74,broken clouds
343,Peterhead,GB,57.5058,-1.7981,54.0,89,100,14.99,overcast clouds
344,Arawa,PG,-6.2132,155.5367,83.52,73,47,3.02,scattered clouds
345,Ode,NG,7.7899,5.7117,72.19,92,100,8.34,overcast clouds
346,Hudson Bay,CA,52.85,-102.3842,41.49,58,100,12.35,overcast clouds
347,Lahaina,US,20.8783,-156.6825,87.8,81,71,3.51,broken clouds
